route_id,min_step_free,min_accessibility,max_gap_mm,min_lift_count,any_lift_issue,any_closure,mean_crowding_peak,route_temp,num_interchanges,zone_span,goal,pac_formula,human_label_1to5,label_good,mean_accessibility,prop_stepfree
R001,0.0,0.0,53.5,0.0,0,0,0.32425,30.1,1,0.0,punctuality,0.3847,3.0,0,1.3333333333333333,0.5
R002,0.0,0.0,42.5,0.0,0,0,0.29595238095238097,30.1,3,0.0,accessibility,0.3556,2.0,0,1.1428571428571428,0.42857142857142855
R003,0.0,0.0,125.0,0.0,0,0,0.18565740740740738,30.0,1,3.0,comfort,0.4055,4.0,1,0.5555555555555556,0.2777777777777778
R004,0.0,0.0,125.0,0.0,0,0,0.21187301587301588,30.0,1,3.0,punctuality,0.4016,4.0,1,0.6190476190476191,0.2857142857142857
R005,0.0,0.0,42.5,0.0,0,0,0.17645138888888887,30.1,2,4.0,accessibility,0.3902,4.0,1,1.0416666666666667,0.375
R006,0.0,0.0,77.2,0.0,0,0,0.1923933333333333,30.1,2,4.0,comfort,0.3878,3.0,0,1.24,0.48
R007,0.0,0.0,175.0,0.0,0,0,0.2791777777777778,30.1,2,3.0,punctuality,0.3748,3.0,0,1.0666666666666667,0.5333333333333333
R008,0.0,0.0,175.0,0.0,0,0,0.28296875,30.1,4,3.0,accessibility,0.3409,2.0,0,1.125,0.5625
R009,0.0,0.0,65.8,0.0,0,0,0.21003968253968255,30.1,3,4.0,comfort,0.3685,2.0,0,0.8095238095238095,0.3333333333333333
R010,0.0,0.0,65.8,0.0,0,0,0.19145238095238093,30.1,0,4.0,punctuality,0.4213,5.0,1,0.6190476190476191,0.23809523809523808
R011,0.0,0.0,51.7,0.0,0,0,0.26453333333333334,30.1,2,1.0,accessibility,0.377,4.5,1,1.6,0.7
R012,0.0,0.0,51.7,0.0,0,0,0.23048333333333332,30.1,3,1.0,comfort,0.3654,4.0,1,1.4,0.6
R013,0.0,0.0,126.5,0.0,0,0,0.257079365079365,30.1,4,5.0,punctuality,0.3448,3.0,0,1.7142857142857142,0.7619047619047619
R014,0.0,0.0,126.5,0.0,0,0,0.24122222222222214,30.1,1,5.0,accessibility,0.3972,5.0,1,1.6666666666666667,0.7619047619047619
R015,0.0,0.0,118.0,0.0,0,0,0.17287499999999997,30.1,3,1.0,comfort,0.3741,3.0,0,0.9,0.4
R016,0.0,0.0,42.5,0.0,0,0,0.16956666666666664,30.1,1,2.0,punctuality,0.4079,4.0,1,0.5,0.2
R017,0.0,0.0,42.5,0.0,0,0,0.33511111111111114,30.1,2,2.0,accessibility,0.3664,1.0,0,1.0,0.4444444444444444
R018,0.0,0.0,42.5,0.0,0,0,0.33980555555555547,30.1,1,2.0,comfort,0.3824,3.0,0,1.1666666666666667,0.5
R019,0.0,0.0,42.5,0.0,0,0,0.27723809523809523,30.1,2,0.0,punctuality,0.3751,2.0,0,1.7142857142857142,0.5714285714285714
R020,0.0,0.0,42.5,0.0,0,0,0.26745238095238094,30.1,2,0.0,accessibility,0.3765,4.0,1,1.2857142857142858,0.42857142857142855
R021,0.0,0.0,77.2,0.0,0,0,0.31487500000000007,30.1,5,1.0,comfort,0.3194,1.0,0,1.5,0.5833333333333334
R022,0.0,0.0,77.2,0.0,0,0,0.30875,30.0,2,1.0,punctuality,0.3704,3.0,0,1.5,0.5833333333333334
R023,0.0,0.0,118.0,0.0,0,0,0.22345138888888885,30.1,3,2.0,accessibility,0.3665,1.0,0,1.25,0.5833333333333334
