logical_id,naptan_tube,station_name,name_key,fare_zone,lift_count,step_free_platform_count,accessible_toilet_count,accessibility_type,ramp_platform_count,mean_gap_mm,crowding_peak,crowding_evening,has_planned_closure,has_live_lift_issue,predicted_temp_c,pac_score
940GZZLUACT,940GZZLUACT,Acton Town Underground Station,acton town,3,2.0,0.0,1.0,2.0,6.0,118.0,0.3016666666666667,0.2586666666666666,0,0,27.1,
940GZZLUADE,940GZZLUADE,Aldgate East Underground Station,aldgate east,1,0.0,0.0,0.0,1.0,2.0,44.8,0.382,0.497,0,0,25.2,
940GZZLUALD,940GZZLUALD,Aldgate Underground Station,aldgate,1,0.0,0.0,0.0,0.0,0.0,,0.1563333333333333,0.2135,0,0,25.2,
940GZZLUALP,940GZZLUALP,Alperton Underground Station,alperton,4,0.0,0.0,0.0,0.0,0.0,,0.092,0.0848333333333333,0,0,27.1,
HUBAMR,940GZZLUAMS,Amersham Underground Station,amersham,9,2.0,3.0,0.0,3.0,0.0,42.5,0.1918333333333333,0.1198333333333333,0,0,25.2,
940GZZLUAGL,940GZZLUAGL,Angel Underground Station,angel,1,0.0,0.0,0.0,0.0,0.0,,0.2895,0.3899999999999999,0,0,27.9,
940GZZLUACY,940GZZLUACY,Archway Underground Station,archway,2+3,0.0,0.0,0.0,0.0,0.0,,0.3431666666666667,0.3163333333333333,0,0,27.9,
940GZZLUASG,940GZZLUASG,Arnos Grove Underground Station,arnos grove,4,0.0,0.0,0.0,0.0,0.0,,0.1526666666666666,0.1496666666666666,0,0,27.1,
940GZZLUASL,940GZZLUASL,Arsenal Underground Station,arsenal,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,27.1,
940GZZLUBST,940GZZLUBST,Baker Street Underground Station,baker street,1,0.0,2.0,0.0,3.0,1.0,42.0,0.4326666666666667,0.4731666666666667,0,0,30.0,
HUBBAL,940GZZLUBLM,Balham Underground Station,balham,3,1.0,0.0,0.0,2.0,0.0,,0.3878333333333333,0.3206666666666666,0,0,27.9,
HUBBAN,940GZZLUBNK,Bank Underground Station,bank,1,10.0,2.0,1.0,3.0,2.0,42.5,0.3891666666666667,0.3805,0,0,30.1,
940GZZLUBBN,940GZZLUBBN,Barbican Underground Station,barbican,1,2.0,3.0,0.0,3.0,0.0,42.5,0.4106666666666667,0.5225000000000001,0,0,25.2,
HUBBKG,940GZZLUBKG,Barking Underground Station,barking,4,1.0,0.0,1.0,2.0,0.0,42.5,0.4121666666666667,0.3168333333333333,0,0,25.2,
