logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
940GZZLUACT,940GZZLUACT,Acton Town Underground Station,acton town,3,district;piccadilly,51.503057,-0.280462
940GZZLUADE,940GZZLUADE,Aldgate East Underground Station,aldgate east,1,district;hammersmith-city,51.515037,-0.072384
940GZZLUALD,940GZZLUALD,Aldgate Underground Station,aldgate,1,circle;metropolitan,51.514246,-0.075689
940GZZLUALP,940GZZLUALP,Alperton Underground Station,alperton,4,piccadilly,51.540627,-0.29961
HUBAMR,940GZZLUAMS,Amersham Underground Station,amersham,9,metropolitan,51.674126,-0.607714
940GZZLUAGL,940GZZLUAGL,Angel Underground Station,angel,1,northern,51.53184,-0.10635
940GZZLUACY,940GZZLUACY,Archway Underground Station,archway,2+3,northern,51.565478,-0.134819
940GZZLUASG,940GZZLUASG,Arnos Grove Underground Station,arnos grove,4,piccadilly,51.616446,-0.133062
940GZZLUASL,940GZZLUASL,Arsenal Underground Station,arsenal,2,piccadilly,51.558655,-0.107457
940GZZLUBST,940GZZLUBST,Baker Street Underground Station,baker street,1,bakerloo;circle;hammersmith-city;jubilee;metropolitan,51.522883,-0.15713
HUBBAL,940GZZLUBLM,Balham Underground Station,balham,3,northern,51.443288,-0.152997
HUBBAN,940GZZLUBNK,Bank Underground Station,bank,1,central;northern;waterloo-city,51.513356,-0.088899
940GZZLUBBN,940GZZLUBBN,Barbican Underground Station,barbican,1,circle;hammersmith-city;metropolitan,51.520275,-0.097993
HUBBKG,940GZZLUBKG,Barking Underground Station,barking,4,district;hammersmith-city,51.539321,0.081053
940GZZLUBKE,940GZZLUBKE,Barkingside Underground Station,barkingside,4,central,51.585689,0.088585
940GZZLUBSC,940GZZLUBSC,Barons Court Underground Station,barons court,2,district;piccadilly,51.490311,-0.213427
940GZZBPSUST,940GZZBPSUST,Battersea Power Station Underground Station,battersea power,1,northern,51.479932,-0.142142
940GZZLUBWT,940GZZLUBWT,Bayswater Underground Station,bayswater,1,circle;district,51.512284,-0.187938
940GZZLUBEC,940GZZLUBEC,Becontree Underground Station,becontree,5,district,51.540331,0.127016
940GZZLUBZP,940GZZLUBZP,Belsize Park Underground Station,belsize park,2,northern,51.550311,-0.164648
940GZZLUBMY,940GZZLUBMY,Bermondsey Underground Station,bermondsey,2,jubilee,51.49775,-0.063993
940GZZLUBLG,940GZZLUBLG,Bethnal Green Underground Station,bethnal green,2,central,51.527222,-0.055506
HUBBFR,940GZZLUBKF,Blackfriars Underground Station,blackfriars,1,circle;district,51.511581,-0.103659
HUBBHO,940GZZLUBLR,Blackhorse Road Underground Station,blackhorse road,3,victoria,51.586919,-0.04115
HUBBDS,940GZZLUBND,Bond Street Underground Station,bond street,1,central;jubilee,51.514304,-0.149723
940GZZLUBOR,940GZZLUBOR,Borough Underground Station,borough,1,northern,51.501199,-0.09337
940GZZLUBOS,940GZZLUBOS,Boston Manor Underground Station,boston manor,4,piccadilly,51.495635,-0.324939
940GZZLUBDS,940GZZLUBDS,Bounds Green Underground Station,bounds green,3+4,piccadilly,51.607034,-0.124235
